language,uni_lemma,tokens,freq,mlu,lexical_category,category,item_definition
English (American),yard,"back+yard, backyard, yard, yards",-10.043861507640802,10.132694938440492,nouns,outside,backyard
English (American),yard,"back+yard, backyard, yard, yards",-10.043861507640802,10.132694938440492,other,places,yard
English (American),yellow,"yellow, yellows",-7.57873016311786,5.998258042039252,adjectives,descriptive_words,yellow
English (American),yes,yes,-5.63202409971397,2.6226649649433957,other,games_routines,yes
English (American),yesterday,yesterday,-8.325299678232323,8.162705219308993,other,time_words,yesterday
English (American),yogurt,"yogurt, yogurts",-10.148918487099605,6.691489361702128,nouns,food_drink,yogurt
English (American),yucky,"yuck, yucked, yuckies, yucks, yucky",-9.061496549182648,3.6064483111566017,adjectives,descriptive_words,yucky
English (American),yum yum,"yum_yum, yum_yums",-11.912254202889773,2.5089285714285716,other,sounds,yum yum
English (American),zebra,"zebra, zebras",-9.390426964487725,6.021337126600285,nouns,animals,zebra
English (American),zipper,"zipper, zippered, zippering, zippers",-10.31707678167483,5.154676258992806,nouns,clothing,zipper
English (American),zoo,"zoo, zoos",-8.720649533436868,8.743449781659388,nouns,outside,zoo
English (American),zoo,"zoo, zoos",-8.720649533436868,8.743449781659388,other,places,zoo
English (Australian),airplane,"airplane, airplanes, plane, planes",-7.175684353587995,7.123144932112409,nouns,vehicles,(air)plane
English (Australian),all gone,all_gone,-7.862538247172151,2.8236032642812305,adjectives,descriptive_words,all gone
English (Australian),angry,mad,-8.107242557592938,6.736968724939856,adjectives,descriptive_words,mad
English (Australian),animal,"animal, animals",-6.031916041542238,8.86008851337759,nouns,animals,animal
English (Australian),ankle,"ankle, ankles",-10.482949915415947,7.226086956521739,nouns,body_parts,ankle
English (Australian),ant,"ant, ants",-8.939430786588376,6.789667896678967,nouns,animals,ant
English (Australian),apple,"apple, apples",-6.381875178151778,7.919925777904653,nouns,food_drink,apple
English (Australian),arm,arm,-7.559602960704232,7.1270282800185445,nouns,body_parts,arm
English (Australian),asleep,asleep,-7.870727269312839,6.577215189873418,adjectives,descriptive_words,asleep
English (Australian),aunt,"aunt, aunts",-8.950542012013447,8.940298507462687,other,people,aunt
English (Australian),awake,awake,-9.111856715628107,5.927631578947368,adjectives,descriptive_words,awake
English (Australian),baa baa,baa_baa,-11.142195544300211,4.864406779661017,other,sounds,baa baa
English (Australian),baby,"baby, babys",-4.746210779797169,6.258278882246628,other,people,baby
English (Australian),babysitter,"babysitter, babysitters",-10.782192810268803,7.8,other,people,babysitter
English (Australian),backyard,backyard,-10.027053953680891,10.857142857142858,nouns,outside,backyard
English (Australian),bad,"bad, worse, worst",-6.736289635836386,7.187995930824008,adjectives,descriptive_words,bad
English (Australian),ball,"ball, balled, balls",-5.704696113618837,6.878689000072511,nouns,toys,ball
English (Australian),balloon,"balloon, balloons",-7.088962370320541,7.323393167342212,nouns,toys,balloon
English (Australian),banana,"banana, bananas",-7.14920718004896,6.6193111931119315,nouns,food_drink,banana
English (Australian),basket,"basket, baskets",-7.54214730389289,8.5498861047836,nouns,household,basket
English (Australian),bat (object),"bat, bats, batted",-8.594053305155056,6.417754569190601,nouns,toys,bat
English (Australian),bath,"bath, bathed, baths",-6.9470006218981695,8.58427530771163,other,games_routines,bath
English (Australian),bathroom,bathroom,-8.721827415649782,8.850148367952523,nouns,furniture_rooms,Bathroom
English (Australian),bathtub,"bath, bath+tub, bath+tubs, bathed, baths",-6.8247074307639,8.434763280729051,nouns,furniture_rooms,Bath (tub)
English (Australian),beach,"beach, beached, beaches",-8.038356529420367,8.499999999999998,other,places,beach
English (Australian),beans,"bean, beans",-7.74433706390357,6.447852760736196,nouns,food_drink,beans
